OBJECT_NAME,NORAD_CAT_ID,INCLINATION,APOAPSIS,PERIAPSIS,BSTAR,iso_score,pca_score,combined_score,anomaly_flag
STARLINK-35228,65517,53.1594,476.035,474.405,0.0013466,0.1211096382531192,0.005913362044537775,0.06351150014882849,0
STARLINK-35232,65518,53.1589,476.271,474.094,0.00083785,0.07236725248888924,0.0031756805818653274,0.03777146653537729,0
STARLINK-35164,65519,53.1596,475.747,474.55,0.0012706,0.07749466409257799,0.004058590719075684,0.04077662740582684,0
STARLINK-35242,65493,53.1603,475.352,475.027,0.00057743,0.3957662173734746,0.02586268725034835,0.21081445231191148,0
STARLINK-35223,65494,53.1585,476.427,473.92,0.001045,0.21709777338144015,0.011692604538234107,0.11439518895983714,0
STARLINK-34446,65495,53.1574,475.911,474.374,0.00096307,0.05084848528852536,0.0035617603130612178,0.02720512280079329,0
STARLINK-35212,65496,53.1567,475.711,474.675,0.001012,0.11675508106322911,0.007877253413018056,0.06231616723812358,0
STARLINK-34455,65497,53.1585,475.561,474.671,0.0010396,0.10636887361339999,0.007554638999070502,0.05696175630623525,0
STARLINK-35203,65498,53.1575,476.174,474.226,0.0011209,0.05730153664656583,0.00102848199568231,0.02916500932112407,0
STARLINK-35166,65499,53.158,475.91,474.46,0.00062239484,0.04312657053311246,0.0024925849396708736,0.022809577736391667,0
STARLINK-35207,65500,53.1562,476.045,474.432,0.00080192,0.04614358627283808,0.0034000392573880264,0.024771812765113053,0
STARLINK-35140,65501,53.1594,475.599,474.751,0.001341,0.10693140821330162,0.007117896048420589,0.0570246521308611,0
STARLINK-35114,65502,53.1594,475.93,474.457,0.00061968,0.07557647080528979,0.006029293210747827,0.040802882008018806,0
STARLINK-35126,65503,53.1574,475.655,474.753,0.0014665,0.13205804760349157,0.008237879411126928,0.07014796350730926,0
STARLINK-35182,65504,53.1563,476.118,474.328,0.00098169,0.041969124665883914,0.0011079927325500566,0.021538558699216986,0
STARLINK-35072,65505,53.1582,476.424,473.917,0.0010617,0.08395468495899275,0.001071549536366737,0.04251311724767974,0
STARLINK-35184,65506,53.1593,476.284,474.117,0.0013725,0.07999559796711385,0.0006752262264170651,0.04033541209676546,0
STARLINK-35163,65507,53.1571,475.887,474.481,0.0009635,0.05268774954490057,0.0030195105817939216,0.027853630063347245,0
STARLINK-35119,65508,53.1586,475.922,474.47,0.00056484378,0.03919678717884273,0.003398809590825381,0.021297798384834053,0
STARLINK-35168,65509,53.1575,475.789,474.464,0.00065597,0.04472061058294243,0.003172792386738736,0.023946701484840585,0
STARLINK-35122,65510,53.159,476.044,474.26,0.00096837,0.043582637266229414,0.0018813117739328526,0.022731974520081133,0
STARLINK-35124,65511,53.1599,476.15,474.278,0.0006586,0.079357094445664,0.005155720802140375,0.04225640762390218,0
STARLINK-35149,65512,53.1598,475.981,474.406,0.0010302,0.04750880009086488,0.0022048587162349486,0.024856829403549916,0
STARLINK-35019,65513,53.155,475.806,474.559,0.00099649,0.08894172194509582,0.005919416932545886,0.04743056943882085,0
STARLINK-35026,65514,53.1591,475.96,474.358,0.00088709,0.05402199759799627,0.0030672560905650706,0.028544626844280673,0
STARLINK-35241,65515,53.1571,476.247,474.011,0.00091946,0.12034466995435261,0.006540959421064023,0.06344281468770832,0
STARLINK-35112,65520,97.6038,550.346,548.748,0.0011396,0.4307062353844859,0.04172590724374148,0.23621607131411368,0
STARLINK-35187,65521,97.6022,549.749,549.227,0.00045475297,0.5898136349436031,0.04804827551837927,0.3189309552309912,0
STARLINK-35188,65522,97.6032,550.123,548.855,0.00054385157,0.4073727951484697,0.042067469100705086,0.22472013212458739,0
STARLINK-35078,65523,97.6022,550.147,548.818,0.00053204314,0.40645239630240554,0.04217491615494445,0.224313656228675,0
STARLINK-35055,65524,97.6019,550.067,548.903,0.00042657,0.4695577268630375,0.04373385541368204,0.2566457911383598,0
STARLINK-35057,65525,97.6046,550.079,548.867,0.00054892025,0.4198806509225467,0.04217499043398918,0.23102782067826796,0
STARLINK-34674,65526,97.6031,549.791,549.188,0.00045822526,0.620186582651562,0.04987457459070019,0.3350305786211311,0
STARLINK-35067,65527,97.6027,550.535,548.421,0.00049576808,0.3767045072224319,0.04123253728695221,0.20896852225469204,0
STARLINK-35063,65528,97.6033,550.182,548.333,0.0027426,0.46399986293617074,0.04204829985469947,0.2530240813954351,0
STARLINK-35077,65529,97.6025,550.01,548.966,0.00041425128,0.41884851068531914,0.04264612241112523,0.2307473165482222,0
STARLINK-35152,65530,97.602,549.899,549.066,0.00041133,0.42485147164776493,0.04307852502730808,0.2339649983375365,0
STARLINK-35064,65531,97.6023,550.051,548.911,0.00055494881,0.4342245645496689,0.042717666205226164,0.23847111537744753,0
STARLINK-35170,65532,97.6049,550.268,548.696,0.00053153385,0.41935882388522,0.04203166421547107,0.23069524405034553,0
STARLINK-35172,65533,97.6032,550.771,547.966,0.00078361,0.44355992305226255,0.04197138405587524,0.2427656535540689,0
STARLINK-35125,65534,97.6036,550.531,548.426,0.00053036671,0.3827337478347448,0.04126307658223952,0.21199841220849217,0
STARLINK-35133,65535,97.6024,549.821,549.294,0.00030960604,0.6301587678262333,0.05021788394653347,0.34018832588638337,0
STARLINK-35044,65536,97.6024,550.479,548.487,0.00054241417,0.3900469870435192,0.041563294598244566,0.21580514082088187,0
STARLINK-35136,65537,97.6024,550.597,548.365,0.0007456678,0.4004321469533012,0.04139783380061285,0.22091499037695703,0
STARLINK-35144,65538,97.6024,549.706,549.371,0.00073000886,0.6522166287832604,0.051096343689222536,0.35165648623624146,0
STARLINK-35110,65539,97.6049,549.763,549.157,0.00030216912,0.5028457213623585,0.044883263775571475,0.273864492568965,0
STARLINK-35052,65540,97.6012,549.879,549.279,0.00014955,0.5918824383918732,0.048393925495078045,0.3201381819434756,0
STARLINK-35087,65541,97.6019,549.664,549.3,0.00043114,0.6423724327001424,0.05090882307775474,0.34664062788894856,0
STARLINK-35100,65542,97.6032,550.005,548.932,0.00052419,0.47064358901438874,0.043789103844674215,0.2572163464295315,0
STARLINK-35105,65543,97.6032,549.883,549.154,0.00045160742,0.6127395235856296,0.04954153292610615,0.33114052825586787,0
STARLINK-35267,65592,97.6022,550.723,548.284,-0.00046058,0.3992285566714809,0.04075946603739417,0.21999401135443752,0
